rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Avatar: The Way of Water,"$2,320,631,329","$684,075,767",29.5%,"$1,636,555,562",70.5%
2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.1%,"$776,963,471",51.9%
3,Jurassic World: Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
5,Minions: The Rise of Gru,"$940,482,695","$370,549,695",39.4%,"$569,933,000",60.6%
6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.8%,"$405,379,776",47.2%
7,The Batman,"$772,245,583","$369,345,583",47.8%,"$402,900,000",52.2%
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
10,Puss in Boots: The Last Wish,"$480,466,413","$186,090,535",38.7%,"$294,375,878",61.3%
11,Moon Man,"$460,237,662",-,-,"$460,237,662",100%
12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.5%,"$311,300,000",76.5%
13,Uncharted,"$407,141,258","$148,648,820",36.5%,"$258,492,438",63.5%
14,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%,"$214,548,614",52.9%
15,Black Adam,"$393,452,111","$168,152,111",42.7%,"$225,300,000",57.3%
16,Elvis,"$287,740,048","$151,040,048",52.5%,"$136,700,000",47.5%
17,The Bad Guys,"$250,387,888","$97,459,240",38.9%,"$152,928,648",61.1%
18,The First Slam Dunk,"$246,868,956","$1,291,869",0.5%,"$245,577,087",99.5%
19,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
20,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
21,Suzume,"$221,184,739","$10,932,037",4.9%,"$210,252,702",95.1%
22,Smile,"$217,408,513","$105,935,048",48.7%,"$111,473,465",51.3%
